phase,lon,lat,UWIND
Early,-165,32.5,-0.17723245129877804
Early,-165,35,-0.43914613508360567
Early,-165,37.5,-0.6321082268355729
Early,-165,40,-0.715336915131804
Early,-165,42.5,-0.6855818060193903
Early,-165,45,-0.6582556522718945
Early,-165,47.5,-0.7425676793284193
Early,-165,50,-0.8271306158909587
Early,-165,52.5,-0.6504929636409599
Early,-165,55,-0.16280718370932237
Early,-165,57.5,0.3208780309280611
Early,-165,60,0.48257959266350775
Early,-165,62.5,0.3942808609546139
Early,-165,65,0.3711675010044003
Early,-165,67.5,0.5118294550427483
Early,-165,70,0.5890335804900615
Early,-165,72.5,0.4368419309268263
Early,-165,75,0.21912799625941892
Early,-165,77.5,0.17885222995954142
Early,-165,80,0.26479908924417445
Early,-165,82.5,0.2190589330229828
Early,-165,85,-0.03915058300407739
Early,-165,87.5,-0.2739126560743566
Early,-165,90,-0.27106925260541526
Early,-162.5,-90,-0.14790883855672668
Early,-162.5,-87.5,-0.5163450521407925
Early,-162.5,-85,-0.3172724568447651
Early,-162.5,-82.5,0.3473673110204503
Early,-162.5,-80,0.6603862993430818
Early,-162.5,-77.5,0.07437369134994544
Early,-162.5,-75,-0.9416436919886059
Early,-162.5,-72.5,-1.4665878098870284
Early,-162.5,-70,-1.2482709978865119
Early,-162.5,-67.5,-0.8551638994465698
Early,-162.5,-65,-0.7855121539831771
Early,-162.5,-62.5,-0.8809927117576171
Early,-162.5,-60,-0.7455025102283029
Early,-162.5,-57.5,-0.3491907768161796
Early,-162.5,-55,0.05968371797147833
Early,-162.5,-52.5,0.3564323872826953
Early,-162.5,-50,0.5552877393474619
Early,-162.5,-47.5,0.6027385015039395
Early,-162.5,-45,0.44025454849786305
Early,-162.5,-42.5,0.22166802292869847
Early,-162.5,-40,0.15724983118996563
Early,-162.5,-37.5,0.2004331722119022
Early,-162.5,-35,0.1479317739076446
Early,-162.5,-32.5,-0.015841386112398603
Early,-162.5,-30,-0.11989742237983561
Early,-162.5,-27.5,-0.13396622230500035
Early,-162.5,-25,-0.22023905210996575
Early,-162.5,-22.5,-0.37891432713917483
Early,-162.5,-20,-0.3884661995645998
Early,-162.5,-17.5,-0.17627602171401716
Early,-162.5,-15,-2.00680801506814e-4
Early,-162.5,-12.5,-0.04051870149698298
Early,-162.5,-10,-0.09758444262768622
Early,-162.5,-7.5,0.104090379043835
Early,-162.5,-5,0.46422502031540824
Early,-162.5,-2.5,0.6499380098305882
Early,-162.5,0,0.5758986206115242
Early,-162.5,2.5,0.4620044800016217
Early,-162.5,5,0.44476907017223616
Early,-162.5,7.5,0.40533038976056224
Early,-162.5,10,0.25644879847357027
