phase,lon,lat,UWIND
Early,-165,57.5,-0.1798268496260072
Early,-165,60,-0.4596266015714449
Early,-165,62.5,-0.4703916513745405
Early,-165,65,-0.45643522287776295
Early,-165,67.5,-0.4839894986187613
Early,-165,70,-0.3126281257522878
Early,-165,72.5,0.17288964285358976
Early,-165,75,0.657840085530052
Early,-165,77.5,0.7374133953996883
Early,-165,80,0.4294207703681473
Early,-165,82.5,0.1350973343232917
Early,-165,85,0.10234070949669136
Early,-165,87.5,0.15643336848359224
Early,-165,90,0.028448798372205698
Early,-162.5,-90,0.784305708451228
Early,-162.5,-87.5,1.0340496380546067
Early,-162.5,-85,0.8085213251343476
Early,-162.5,-82.5,0.12104151191706491
Early,-162.5,-80,-0.5069273322905145
Early,-162.5,-77.5,-0.4438822669452123
Early,-162.5,-75,0.348379896179439
Early,-162.5,-72.5,1.207164353257663
Early,-162.5,-70,1.4879435109127015
Early,-162.5,-67.5,1.1797267697948117
Early,-162.5,-65,0.7095382431091217
Early,-162.5,-62.5,0.33286283018288076
Early,-162.5,-60,-0.07723167676167333
Early,-162.5,-57.5,-0.6649425779333007
Early,-162.5,-55,-1.2810841596912181
Early,-162.5,-52.5,-1.5976218072779202
Early,-162.5,-50,-1.4357464548419092
Early,-162.5,-47.5,-0.9070377698405672
Early,-162.5,-45,-0.2831802122248765
Early,-162.5,-42.5,0.22660708381924902
Early,-162.5,-40,0.5884011894332413
Early,-162.5,-37.5,0.8657312602526257
Early,-162.5,-35,1.072556401732234
Early,-162.5,-32.5,1.1516148397291572
Early,-162.5,-30,1.0798292227022415
Early,-162.5,-27.5,0.9310292958783548
Early,-162.5,-25,0.7720708844239061
Early,-162.5,-22.5,0.5535286258465497
Early,-162.5,-20,0.21201445316010334
Early,-162.5,-17.5,-0.16443367000597672
Early,-162.5,-15,-0.3733704197001833
Early,-162.5,-12.5,-0.3336456555519455
Early,-162.5,-10,-0.1975042271325662
Early,-162.5,-7.5,-0.148445223345648
Early,-162.5,-5,-0.1849839992135153
Early,-162.5,-2.5,-0.1494090602924914
Early,-162.5,0,0.03575845432006668
Early,-162.5,2.5,0.2685818506570937
Early,-162.5,5,0.37971073061160954
Early,-162.5,7.5,0.31672790362153724
Early,-162.5,10,0.17333273214911663
Early,-162.5,12.5,0.06592560204791412
Early,-162.5,15,-0.004218246587356677
Early,-162.5,17.5,-0.1441857872754285
Early,-162.5,20,-0.40801603072598164
Early,-162.5,22.5,-0.6754606773188654
Early,-162.5,25,-0.7503025962064721
Early,-162.5,27.5,-0.6004972627881828
Early,-162.5,30,-0.3928504490887745
Early,-162.5,32.5,-0.26547606434227533
Early,-162.5,35,-0.16027518708959196
Early,-162.5,37.5,0.06426908452116212
Early,-162.5,40,0.39453937675623096
Early,-162.5,42.5,0.6756688973005155
Early,-162.5,45,0.8345825377215396
Early,-162.5,47.5,0.9275644219634633
Early,-162.5,50,0.9477331524064342
Early,-162.5,52.5,0.7575844181799974
Early,-162.5,55,0.3122004497801648
Early,-162.5,57.5,-0.17097510760910473
Early,-162.5,60,-0.42308941886064533
Early,-162.5,62.5,-0.444178296688831
Early,-162.5,65,-0.4360691614713883
Early,-162.5,67.5,-0.43769781373590577
Early,-162.5,70,-0.24646932059257431
Early,-162.5,72.5,0.2200692256696637
