phase,lon,lat,UWIND
Early,-157.5,-45,-0.19201105727549958
Early,-157.5,-42.5,-0.4772476259192216
Early,-157.5,-40,-0.7881847131173692
Early,-157.5,-37.5,-1.0301670363338011
Early,-157.5,-35,-1.025977534579494
Early,-157.5,-32.5,-0.8162269876683633
Early,-157.5,-30,-0.5924756497794652
Early,-157.5,-27.5,-0.39103836143633935
Early,-157.5,-25,-0.08092904415564285
Early,-157.5,-22.5,0.30852460185867503
Early,-157.5,-20,0.5304192678698442
Early,-157.5,-17.5,0.46312338485148113
Early,-157.5,-15,0.29603237650212283
Early,-157.5,-12.5,0.23124087258782058
Early,-157.5,-10,0.19500377749849657
Early,-157.5,-7.5,0.04774751340915302
Early,-157.5,-5,-0.14411043627960024
Early,-157.5,-2.5,-0.22295325559864482
Early,-157.5,0,-0.24126789920524788
Early,-157.5,2.5,-0.35957718315739273
Early,-157.5,5,-0.5370055175612004
Early,-157.5,7.5,-0.5572897375042127
Early,-157.5,10,-0.3744637784775832
Early,-157.5,12.5,-0.20804356794545922
Early,-157.5,15,-0.24439021667660438
Early,-157.5,17.5,-0.40355839710836244
Early,-157.5,20,-0.47803353089573464
Early,-157.5,22.5,-0.3720432605676473
Early,-157.5,25,-0.1290365093756274
Early,-157.5,27.5,0.15190786637380227
Early,-157.5,30,0.3805663317309166
Early,-157.5,32.5,0.5038854146991532
Early,-157.5,35,0.5335086832841267
Early,-157.5,37.5,0.49560127773947654
Early,-157.5,40,0.35584945744124064
Early,-157.5,42.5,0.09259305621285624
Early,-157.5,45,-0.17501424420154005
Early,-157.5,47.5,-0.26519058134657764
Early,-157.5,50,-0.17043846331117166
Early,-157.5,52.5,-0.07646637775063095
Early,-157.5,55,-0.10395422927665708
Early,-157.5,57.5,-0.16385182088729902
Early,-157.5,60,-0.1238780004624027
Early,-157.5,62.5,-0.023165314331169952
Early,-157.5,65,0.0024067565810890887
Early,-157.5,67.5,-0.08681023319930159
Early,-157.5,70,-0.24646653898865542
Early,-157.5,72.5,-0.4455031397624474
Early,-157.5,75,-0.6469231481829644
Early,-157.5,77.5,-0.739671188274276
Early,-157.5,80,-0.6111805343513379
Early,-157.5,82.5,-0.31173165365764155
Early,-157.5,85,-0.026399606749670766
Early,-157.5,87.5,0.1161371945853405
Early,-157.5,90,0.17018213516208255
Early,-155,-90,-0.47913018267987506
Early,-155,-87.5,-0.35558732839843105
Early,-155,-85,-0.3089749012127382
Early,-155,-82.5,-0.31766484464946526
Early,-155,-80,-0.19711391261158748
Early,-155,-77.5,0.04749921457850056
Early,-155,-75,0.1832566656252017
Early,-155,-72.5,0.07409452790124148
Early,-155,-70,-0.10398103239786395
Early,-155,-67.5,-0.0822060918228039
Early,-155,-65,0.17497663335984345
Early,-155,-62.5,0.48428558968561347
Early,-155,-60,0.7121659540697511
Early,-155,-57.5,0.8721631297246084
Early,-155,-55,0.9531242811664449
Early,-155,-52.5,0.8402039363134352
Early,-155,-50,0.5079504420530978
Early,-155,-47.5,0.11304167437676652
