phase,lon,lat,VwIND
Early,-157.5,-90,0.08592379393893008
Early,-157.5,-87.5,0.139841040130927
Early,-157.5,-85,0.08478942423131483
Early,-157.5,-82.5,0.05574980009319276
Early,-157.5,-80,0.13179403877957
Early,-157.5,-77.5,0.2159053969141677
Early,-157.5,-75,0.18048180124505464
Early,-157.5,-72.5,0.0567563066644178
Early,-157.5,-70,-0.020683551312084502
Early,-157.5,-67.5,0.008919558447374309
Early,-157.5,-65,0.060255425517917904
Early,-157.5,-62.5,0.04943423247909766
Early,-157.5,-60,-0.011334540875645066
Early,-157.5,-57.5,-0.06510363712760002
Early,-157.5,-55,-0.10948814598817397
Early,-157.5,-52.5,-0.17839531331633018
Early,-157.5,-50,-0.27161729984099536
Early,-157.5,-47.5,-0.35155565537034095
Early,-157.5,-45,-0.3926892184849942
Early,-157.5,-42.5,-0.39590383244419297
Early,-157.5,-40,-0.3690002287615983
Early,-157.5,-37.5,-0.31305773806352477
Early,-157.5,-35,-0.24410497668833103
Early,-157.5,-32.5,-0.20450930125916636
Early,-157.5,-30,-0.2203760797263362
Early,-157.5,-27.5,-0.27371487948119766
Early,-157.5,-25,-0.31011223277662775
Early,-157.5,-22.5,-0.2870654792629691
Early,-157.5,-20,-0.21752938792903295
Early,-157.5,-17.5,-0.16876568449940935
Early,-157.5,-15,-0.16939951899473818
Early,-157.5,-12.5,-0.16872704317470957
Early,-157.5,-10,-0.08532444194501901
Early,-157.5,-7.5,0.08609769199093226
Early,-157.5,-5,0.24378753849348642
Early,-157.5,-2.5,0.28155229470721965
Early,-157.5,0,0.19997258862062947
Early,-157.5,2.5,0.09520686832758857
Early,-157.5,5,0.04642610005862042
Early,-157.5,7.5,0.0408892586912735
Early,-157.5,10,0.03482147707484017
Early,-157.5,12.5,0.025648141724357254
Early,-157.5,15,0.0597570095053165
Early,-157.5,17.5,0.1609669461712468
Early,-157.5,20,0.2931069170010242
Early,-157.5,22.5,0.3931015017759156
Early,-157.5,25,0.4413307607882805
Early,-157.5,27.5,0.46916587088446415
Early,-157.5,30,0.526392635926896
Early,-157.5,32.5,0.6112615515052083
Early,-157.5,35,0.6625015429958685
Early,-157.5,37.5,0.6076361344929861
Early,-157.5,40,0.4434717929718421
Early,-157.5,42.5,0.24484194628008252
Early,-157.5,45,0.09005106984432867
Early,-157.5,47.5,-0.01997637147532396
Early,-157.5,50,-0.14272717892844478
Early,-157.5,52.5,-0.29762400397641736
Early,-157.5,55,-0.42017109260171853
Early,-157.5,57.5,-0.43957124064242875
Early,-157.5,60,-0.3848401774166457
Early,-157.5,62.5,-0.35088145434392815
Early,-157.5,65,-0.3573586639862128
Early,-157.5,67.5,-0.3166738926470715
Early,-157.5,70,-0.1589263700838417
Early,-157.5,72.5,0.04857263499889029
Early,-157.5,75,0.16151633418477446
Early,-157.5,77.5,0.11836745842961122
Early,-157.5,80,0.0015216356979693146
Early,-157.5,82.5,-0.07287330989136888
Early,-157.5,85,-0.05183681556748
Early,-157.5,87.5,0.045554025073918765
Early,-157.5,90,0.16691177727751055
Early,-155,-90,0.0797003407288424
Early,-155,-87.5,0.11837294371536067
Early,-155,-85,0.072452098120595207
Early,-155,-82.5,0.0713699181910277
Early,-155,-80,0.15628488396422793
Early,-155,-77.5,0.2049439726521331
Early,-155,-75,0.10978846077669827
Early,-155,-72.5,-0.05021199547475308
Early,-155,-70,-0.10760432860456248
