phase,lon,lat,VwIND
Early,-167.5,-42.5,-0.08322462040536448
Early,-167.5,-40,-0.2570024891091837
Early,-167.5,-37.5,-0.3501745638878132
Early,-167.5,-35,-0.3685431652487722
Early,-167.5,-32.5,-0.37595563341115446
Early,-167.5,-30,-0.40522067799139744
Early,-167.5,-27.5,-0.4418838080022891
Early,-167.5,-25,-0.46722111109973147
Early,-167.5,-22.5,-0.47572060252447884
Early,-167.5,-20,-0.45269852848878234
Early,-167.5,-17.5,-0.3735580097217169
Early,-167.5,-15,-0.2459069442872591
Early,-167.5,-12.5,-0.12261210550988348
Early,-167.5,-10,-0.05124799416374695
Early,-167.5,-7.5,-0.02477650893881872
Early,-167.5,-5,0.012648041561141077
Early,-167.5,-2.5,0.08660966902039012
Early,-167.5,0,0.16312468913557054
Early,-167.5,2.5,0.2041377184277841
Early,-167.5,5,0.22134162863677018
Early,-167.5,7.5,0.2632904572077112
Early,-167.5,10,0.328485544168604
Early,-167.5,12.5,0.34482038661557746
Early,-167.5,15,0.24668655032649445
Early,-167.5,17.5,0.06893409381416948
Early,-167.5,20,-0.10023824534574663
Early,-167.5,22.5,-0.22309805478435762
Early,-167.5,25,-0.33275373328501123
Early,-167.5,27.5,-0.4353255551778393
Early,-167.5,30,-0.4542429260348394
Early,-167.5,32.5,-0.30230003976985015
Early,-167.5,35,0.01025186971728278
Early,-167.5,37.5,0.3874601119204644
Early,-167.5,40,0.7156882527797404
Early,-167.5,42.5,0.9028758869036831
Early,-167.5,45,0.8882410045096073
Early,-167.5,47.5,0.6756350747406302
Early,-167.5,50,0.3879317859094137
Early,-167.5,52.5,0.16739836894293805
Early,-167.5,55,0.07043258864234789
Early,-167.5,57.5,0.056321764350054086
Early,-167.5,60,0.08800894269211698
Early,-167.5,62.5,0.16843135008289176
Early,-167.5,65,0.2694931783690516
Early,-167.5,67.5,0.30703341553778407
Early,-167.5,70,0.24078355303792298
Early,-167.5,72.5,0.1283086175738353
Early,-167.5,75,0.04414447335340047
Early,-167.5,77.5,-0.020041545390471836
Early,-167.5,80,-0.10201278186642651
Early,-167.5,82.5,-0.17558380148797448
Early,-167.5,85,-0.17301823803270647
Early,-167.5,87.5,-0.08580284163143467
Early,-167.5,90,0.010889213376740725
Early,-165,-90,-0.07241842742403892
